actor;platform;year
 rowen wilcko;as5704;2021
kunal kapoor;as5705;2021
 amyra dastur;as5705;2021
 elli avram;as5705;2021
 aamir khan;as5705;2021
roya heydari;as5706;2017
 farid joya;as5706;2017
 ghulam reza rajabi;as5706;2017
 omid rawendah;as5706;2017
 mohd qais shaghasy;as5706;2017
ann mccaskey;as5707;2020
 arianna guerra;as5707;2020
 brian beacock;as5707;2020
 elizabeth maxwell;as5707;2020
 harold fisch;as5707;2020
 joe barajas;as5707;2020
 jordan brinkman;as5707;2020
 kevin brown;as5707;2020
 lara shah;as5707;2020
 marcelle purdy;as5707;2020
 nicole moore;as5707;2020
 oryan landa;as5707;2020
 shannon lepard;as5707;2020
naveen k chary;as5708;2021
 meghana chowdary;as5708;2021
jerry chesser;as5709;2021
 jezibell anat;as5709;2021
 russell dobson;as5709;2021
 eddie rodgers;as5709;2021
 daniel dobson;as5709;2021
bruce munson;as5710;2012
 adrienne atkins;as5710;2012
 christina derosa;as5710;2012
 madeline fabian;as5710;2012
 bryan patrick mcculley;as5710;2012
eiji funakoshi;as5711;1965
 harumi kiritachi;as5711;1965
 junichiro yamashita;as5711;1965
mach fumiake;as5712;1980
 yaeko kojima;as5712;1980
 yoko komatsu;as5712;1980
ihara;as5713;1995
 akira onodera;as5713;1995
 ayako fujitani;as5713;1995
kôji fujiyama;as5714;1971
 reiko kasahara;as5714;1971
 akira natsuki;as5714;1971
kôjirô hongô;as5715;1968
 tôru takatsuka;as5715;1968
 carl craig;as5715;1968
tsutomu takakuwa;as5716;1970
 kelly varis;as5716;1970
 katherine murphy;as5716;1970
kôjirô hongô;as5717;1967
 kichijirô ueda;as5717;1967
 reiko kasahara;as5717;1967
nobuhiro kajima;as5718;1969
 miyuki akiyama;as5718;1969
 christopher murphy;as5718;1969
kôjirô hongô;as5719;1966
 kyôko enami;as5719;1966
 yûzô hayakawa;as5719;1966
josie ho;as5720;2015
 ekin cheng;as5720;2015
 susan shaw;as5720;2015
sunita mani;as5722;2020
 omar maskati;as5722;2020
 sarita choudhury;as5722;2020
 bernard white;as5722;2020
valeria mosquera;as5723;2016
 luis torres;as5723;2016
 vicente sánchez;as5723;2016
 axel ortega;as5723;2016
 jorge cabrera;as5723;2016
elle alexander;as5724;2021
 cliff yates;as5724;2021
 kristjan sokoli;as5724;2021
 pete berwick;as5724;2021
mirabel miscala;as5725;2021
 todd risby;as5725;2021
stevin john;as5727;2020
stevin john;as5728;2020
amina muhammad;as5729;2021
 david tiefen;as5729;2021
 nicole c. barnes;as5729;2021
 anthony j. james;as5729;2021
 davina reid;as5729;2021
 billy thomas myott;as5729;2021
 nasim;as5729;2021
 matthew seymour;as5729;2021
 jillie simon;as5729;2021
 kat lindsay;as5729;2021
 lorenzo beronilla;as5729;2021
 dominic greco;as5729;2021
 richard baugh;as5729;2021
 taylor kulp;as5729;2021
 francisco leon;as5729;2021
 dean deck;as5729;2021
 michelle fitzpatrick;as5729;2021
 kenon white;as5729;2021
 micah mobley;as5729;2021
 ellen b. williams;as5729;2021
mammootty;as5730;2019
 suhasini maniratnam;as5730;2019
jennifer freeman;as5731;2018
 robert ri'chard;as5731;2018
 rhyon nicole brown;as5731;2018
dave goelz;as5732;1986
 brian henson;as5732;1986
 kathryn mullen;as5732;1986
 jerry nelson;as5732;1986
 richard hunt;as5732;1986
 camille bonara;as5732;1986
 rob mills;as5732;1986
 nikki tilroe;as5732;1986
 marsha moreau;as5732;1986
 zachary bennett;as5732;1986
 steve whitmire;as5732;1986
rae hunt;as5733;2020
 bella martin;as5733;2020
 wynn reichert;as5733;2020
lucas till;as5734;2021
 lucy hale;as5734;2021
 julia ormond;as5734;2021
 sienna guillory;as5734;2021
 brian dennehy;as5734;2021
murda pain;as5735;2017
 jessica ryan;as5735;2017
 sino harris;as5735;2017
 lance whittington;as5735;2017
 nunu thurman;as5735;2017
roberto benigni;as5736;2020
 federico ielapi;as5736;2020
 rocco papaleo;as5736;2020
 massimo ceccherini;as5736;2020
roberto benigni;as5737;2020
 federico ielapi;as5737;2020
 rocco papaleo;as5737;2020
 massimo ceccherini;as5737;2020
matt levett;as5739;2021
 toby leonard moore;as5739;2021
 anna baryshnikov;as5739;2021
 lev gorn;as5739;2021
 rade servedzija;as5739;2021
 elena satine;as5739;2021
anna friel;as5743;2002
 michelle williams;as5743;2002
 kyle maclachlan;as5743;2002
 oliver milburn;as5743;2002
murda pain;as5744;2020
 thomas l. harris;as5744;2020
 sino harris;as5744;2020
 lance whittington;as5744;2020
 deborah spencer;as5744;2020
 chamar avery;as5744;2020
 shorty rich;as5744;2020
 forty the great;as5744;2020
